Seasonality;access;EIR;prev_allInf_210_baseline_yearly;prev_210_cat;seed
seas3mo;0.04;0.035;0.315525816;(0.3,0.4];1
seas3mo;0.04;0.035;0.25135332;(0.2,0.3];2
seas3mo;0.04;0.035;0.234550874;(0.2,0.3];4
seas3mo;0.04;0.035;0.258264725;(0.2,0.3];5
seas3mo;0.04;0.035;0.261770253;(0.2,0.3];6
seas3mo;0.04;0.035;0.224543782;(0.2,0.3];7
seas3mo;0.04;0.035;0;NA;8
seas3mo;0.04;0.035;0.375399529;(0.3,0.4];9
seas3mo;0.04;0.035;0.171199324;(0.1,0.2];10
seas4mo;0.04;0.035;0.187315068;(0.1,0.2];1
seas4mo;0.04;0.035;0.185300921;(0.1,0.2];2
seas4mo;0.04;0.035;0.258074303;(0.2,0.3];3
seas4mo;0.04;0.035;0.070870921;(0,0.1];4
seas4mo;0.04;0.035;0.117737498;(0.1,0.2];5
seas4mo;0.04;0.035;0.19289822;(0.1,0.2];6
seas4mo;0.04;0.035;0.366652733;(0.3,0.4];7
seas4mo;0.04;0.035;0.230102855;(0.2,0.3];8
seas4mo;0.04;0.035;0.27554935;(0.2,0.3];9
seas4mo;0.04;0.035;0.153640995;(0.1,0.2];10
seas3mo;0.0972;0.035;0.282520242;(0.2,0.3];1
seas3mo;0.0972;0.035;0.290784882;(0.2,0.3];2
seas3mo;0.0972;0.035;0;NA;3
seas3mo;0.0972;0.035;0.299582528;(0.2,0.3];5
seas3mo;0.0972;0.035;0.285553784;(0.2,0.3];6
seas3mo;0.0972;0.035;0.210898271;(0.2,0.3];8
seas3mo;0.0972;0.035;0.347532139;(0.3,0.4];9
seas4mo;0.0972;0.035;0.166353746;(0.1,0.2];1
seas4mo;0.0972;0.035;0.313167211;(0.3,0.4];2
seas4mo;0.0972;0.035;0.176611176;(0.1,0.2];3
seas4mo;0.0972;0.035;0.240109153;(0.2,0.3];4
seas4mo;0.0972;0.035;0.301026179;(0.2,0.3];5
seas4mo;0.0972;0.035;0.252869432;(0.2,0.3];6
seas4mo;0.0972;0.035;0.139543969;(0.1,0.2];7
seas4mo;0.0972;0.035;0.143412324;(0.1,0.2];8
seas4mo;0.0972;0.035;0.30001152;(0.2,0.3];9
seas4mo;0.0972;0.035;0.276791122;(0.2,0.3];10
seas3mo;0.2412;0.035;0;NA;4
seas3mo;0.2412;0.035;0;NA;5
seas3mo;0.2412;0.035;0.292638577;(0.2,0.3];7
seas3mo;0.2412;0.035;0;NA;8
seas3mo;0.2412;0.035;0;NA;10
seas4mo;0.2412;0.035;0.210398793;(0.2,0.3];1
seas4mo;0.2412;0.035;0.234013758;(0.2,0.3];2
seas4mo;0.2412;0.035;0.205527283;(0.2,0.3];3
